ITEM,LOC,SELLING_UNIT_RETAIL,LOCAL_SHORT_DESC,PACKAGE_SIZE,PACKAGE_UOM,CATEGORIA,CATEGORIA_NOMBRE
1271026683,8967,35.57,REMOVEDOR ADHESIVO,1.0,EA,9000,Consumo Interno
1280026704,8967,23.76,SANITIZANTE GRAL,1.0,EA,9000,Consumo Interno
1280026735,8967,35.33,Jabon para manos,1.0,EA,9000,Consumo Interno
5,8967,9.9,BAGUETTE,1.0,EA,132,Panera
11848126319,8967,18.0,Anita Furiosa 300 ml,1.0,EA,169,Salsas Botaneras
11848245508,8967,28.0,Anita Chil polvo 150,150.0,G,169,Salsas Botaneras
11848245621,8967,16.0,Anita Haba Vde 15,1.0,EA,319,Salsas Abarrotes
11848245638,8967,16.0,Salsa habanera Ro,1.0,EA,319,Salsas Abarrotes
12388000961,8967,24.5,LIRIO JBN DERMA 200G,1.0,EA,231,Jabones de tocador
12388000978,8967,24.5,LIRIO JBN NEUTR 200G,200.0,G,231,Jabones de tocador
12388003207,8967,17.5,BoldAromasdePrim850g,1.0,EA,221,Detergentes Ropa
12800185078,8967,45.0,RAYO PILA ALCA AA 4P,4.0,EA,214,Energia
12800389353,8967,45.0,RAYO PILA ALCA AAA 4,4.0,EA,214,Energia
12800525348,8967,33.0,Pila AAA Carbon c,4.0,EA,214,Energia
12800525416,8967,33.0,Pila AA Carbon c/,4.0,EA,214,Energia
13000001243,8967,25.0,Heinz Ketchup 397g,397.0,G,191,Aderezos y Condiment
13117000702,8967,227.26,BBTIPS ET 4 40 PZ,40.0,EA,229,Cuidado del bebe
13117000719,8967,241.16,BBTIPS ET 5 40 PZ,40.0,EA,229,Cuidado del bebe
13117011180,8967,149.6,CHICOLASTIC ET 4 40P,1.0,EA,229,Cuidado del bebe
13117011531,8967,180.16,CHICOLASTIC ET 6 40P,4.0,PCS,229,Cuidado del bebe
13117011753,8967,161.07,CHICOLASTIC ET 5 40P,1.0,EA,229,Cuidado del bebe
13117019971,8967,252.72,BBTIPS ET 6 40 PZ,40.0,EA,229,Cuidado del bebe
13117023299,8967,162.29,KIDDIES ET 3 40 PZ,1.0,EA,229,Cuidado del bebe
13117023305,8967,187.82,KIDDIES ET 4 40 PZ,1.0,EA,229,Cuidado del bebe
13117023312,8967,206.83,KIDDIES ET 5 40 PZ,1.0,EA,229,Cuidado del bebe
13117029000,8967,99.44,KIDDIES ET 1 28 PZ,6.0,PCS,229,Cuidado del bebe
13117029284,8967,232.64,KIDDIES ET 6 40 PZ,40.0,PCS,229,Cuidado del bebe
14800515329,8967,28.5,CLAMATO ALMEJA 473ML,473.0,ML,271,Jugo Tomate y Almeja
14800515336,8967,47.0,CLAMATO ALMEJA 946ML,946.0,ML,271,Jugo Tomate y Almeja
14800515343,8967,70.0,CLAMATO ALMEJA 1.89L,1890.0,ML,271,Jugo Tomate y Almeja
158,8967,4.5,Pan Integra Espanola,1.0,EA,132,Panera
18804701139,8967,15.0,Icee gomi Cerez 50gr,50.0,G,257,Otras Golosinas
18804701351,8967,15.0,ICEE MORA 50G,50.0,G,257,Otras Golosinas
208,8967,125.0,Rosca de Reyes 1 pz,1.0,EA,132,Panera
21136010480,8967,30.0,Topochico 1.5 lts,1500.0,ML,315,MezcladoresRefre
21136010541,8967,19.0,Topochi mineral 600m,591.0,ML,315,MezcladoresRefre
2201302,8967,2.0,Orbit 4P Fresa,5.3,G,254,Chicles
22110079806,8967,35.0,Hubba Bubba ORG 56g,56.7,G,254,Chicles
25046021697,8967,40.0,Duvalin 4 Sabores 12,276.0,G,257,Otras Golosinas
32239052017,8967,15.0,VALLE DURAZNO 413ML,413.0,ML,267,Jugo y Nectar
36731321008,8967,32.0,GATORADE NARANJ 1 L,1.0,L,264,Isotonicos
36731323002,8967,28.0,GATORADE LIMA LMN 1L,1.0,L,264,Isotonicos
36731324009,8967,28.0,Gatorade Uva 1 Lt,1.0,L,264,Isotonicos
36731326003,8967,32.0,GATORADE PONCHE 1L,1.0,L,264,Isotonicos
37836041273,8967,53.0,Hinds crema 400ml,1.0,PCS,227,Belleza e higiene
38000846731,8967,23.0,Pringles Original 37,37.0,G,163,Frituras
