2024-10-27 16:43:09: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 17:13:15: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 17:43:22: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 18:13:27: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 18:43:34: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 19:13:40: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 19:43:45: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 20:13:50: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 20:43:55: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 21:13:59: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 21:44:04: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 22:14:09: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 22:44:14: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 23:14:19: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
2024-10-27 23:44:24: ITM12NEO52RSW241027133650.json successfully integrated to Customer: Bara, Store: 03.
